species,conservation_status,biomass,sensitivity_disturbance,dispersal_ability,growth_rate,
species_1,5,0.63,0.88,0.71,3.68,
species_2,1,0.32,0.32,1,4.39,
species_3,4,0.49,0.76,0.64,4.04,
species_4,1,0.37,0.55,0.67,4.75,
species_5,1,0.38,0.65,0.58,2.67,
species_6,3,0.01,0.55,0.01,2.67,
species_7,1,0.42,0.5,0.83,2.67,
species_8,3,0.04,0.75,0.05,2.67,
species_9,5,0.04,0.85,0.05,2.67,
species_10,1,0.56,0.65,0.88,2.25,
species_11,1,0.38,0.65,0.58,2.67,
species_12,3,0.36,0.61,0.58,3.92,
species_13,1,0.14,0.31,0.44,3.55,
species_14,1,0.14,0.31,0.44,3.55,
species_15,1,0.95,0.46,0.73,1.05,
species_16,3,0.02,0.62,0.78,1.05,
species_17,1,0.18,0.26,0.71,1.60,
species_18,1,0.2,0.27,0.73,1.10,
species_19,1,0.15,0.22,0.69,1.05,
species_20,1,0.25,0.38,0.67,1.05,
species_21,1,0.3,0.36,0.82,1.35,
species_22,1,0.05,0.37,0.69,2.35,
species_23,1,0.46,0.52,0.89,1.50,
species_24,1,0.22,0.5,0.83,2.67,
species_25,1,0.8,0.35,0.84,1.65,
species_26,1,0.11,0.17,0.67,5.50,
species_27,2,0.31,0.56,0.54,4.75,
species_28,1,0.26,0.45,0.58,3.60,
species_29,2,1,0.56,0.58,4.33,
species_30,2,0.33,0.56,0.58,4.33,